,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BICD1,1217.9000975749016,0.21641644620294365,0.15769961258887708,1.3723334043130555,0.16995967124605346,0.43204681202394984
BICD2,5817.556919746589,0.04857970900061111,0.21204793000011407,0.22909777520858127,0.8187929226107619,0.9327327064538175
BID,1037.811706008585,0.35091054364409435,0.11298169770110789,3.1059060961574962,0.0018969694612777739,0.01590149021896861
BIN1,6041.445322901537,-0.5690559335752733,0.22086884964796752,-2.5764426920421997,0.009982275127329776,0.05986659852786123
BIN3,1979.4344692111854,-0.05449102623008337,0.11120010866051408,-0.4900267354633667,0.6241149802833634,0.8418758282018359
BIRC2,2405.171091337624,0.1478075413185344,0.10402567741459214,1.4208755471925512,0.1553529429427002,0.410638960131355
BIRC3,12.887706586744457,0.9818835854655938,0.6282962842643145,1.562771593684184,0.11810632789956647,0.34715521440018676
BIRC5,9962.286870907423,-0.0968409492459525,0.1354438461429214,-0.7149896581035153,0.47461543371960296,0.7462371565676603
BIRC6,33718.72601115857,-0.03843075491049454,0.08678987543543008,-0.4428022821519803,0.657908752483459,0.8588561724593993
BIVM,446.60888039132055,0.20268065054610152,0.17081035004712766,1.186582958762046,0.23539216100917706,0.5231900090190581
BLCAP,10216.477079718306,-0.6503688461026575,0.18041921904710387,-3.6047647780409644,0.0003124357750834914,0.0034609473483525575
BLID,5.644683728238973,4.2756955745544,1.4638115847045101,2.920933007520573,0.0034898486111475864,0.026032702167875083
BLM,6092.829297435007,-0.3801610117221136,0.1270118994461314,-2.9931133490633957,0.00276147167820812,0.021568718201910246
BLMH,5532.824693897036,-0.043445398747642056,0.1612953785991005,-0.26935302874129796,0.7876580284164528,0.9181123047913905
BLOC1S1,381.4967575997495,0.25546700541563266,0.27459834033619274,0.9303297503650698,0.3522003787603381,0.6466422330171141
BLOC1S2,1240.9605677947113,0.19873404955626217,0.13236485018183966,1.5014110565096859,0.1332492759130172,0.3741618975515585
BLOC1S3,545.2966474695543,0.10466006529705073,0.140091661620928,0.7470827605732087,0.45501360571428995,0.7316712636269426
BLOC1S4,695.0273908337869,-0.3733705998579558,0.16308594804100046,-2.2894099972616213,0.022055541820822658,0.10865204710495298
BLOC1S5,623.2384459251945,-0.2339780076612862,0.13461087492636598,-1.7381805726266577,0.08217900116424723,0.2751780709798776
BLOC1S6,3664.6445020988417,-0.14532222288066554,0.09357955812884473,-1.5529270044273886,0.1204405744913385,0.3518355708630081
BLVRA,995.1140266199408,-0.06295482390837685,0.22652732641951087,-0.27791271324056266,0.7810793644443567,0.9161812545134425
BLVRB,97.83579907867802,0.6977505367729997,0.41598285866892215,1.6773540597458476,0.09347326716979547,0.30037222688299714
BLZF1,1161.5856425125137,0.2097306724104467,0.11424964359779843,1.8357227716943896,0.0663986683165897,0.23901360507166405
BMF,1664.4308692474149,0.1346513570875298,0.23998555589241266,0.5610810891797797,0.574742259187992,0.8124878682835714
BMI1,1613.9644888528635,-0.06855350457066167,0.1806025315215256,-0.3795821907540146,0.7042555828092325,0.8804152119343182
BMP1,2835.449234891639,1.4349557573819633,0.2021909681762047,7.0970319313740715,1.2746461694562808e-12,6.543074164190913e-11
BMP10,3.38919167568366,-1.8838856906413621,1.4012236073053284,-1.3444575732378887,0.17880046712378247,
BMP2,362.7951937067571,1.0218504387049925,0.17139020344994998,5.962128628917797,2.4897303025940896e-09,8.306190692925709e-08
BMP2K,5367.336270945404,0.7551519717203344,0.1956346901015226,3.8600105703566996,0.00011338212035310139,0.0014635331763271035
BMP3,13.308817671104558,0.35630462370014365,0.6672350127582725,0.5340016888910273,0.5933403655905268,0.8250733742222499
